BILL_AMT_AR,BILL_AMT_I,BILL_AMT_MA,BILL_AMT_SIGMA,PAY_AMT_AR,PAY_AMT_I,PAY_AMT_MA,PAY_AMT_SIGMA,PAY_AR,PAY_I,PAY_MA,PAY_SIGMA
0,0,0,346.519261137065,0,0,0,46.837303713580894,0,0,0,0.7453559924999301
0,1,0,1190.31260980161,0,1,0,59.8483728073927,0,0,0,0.7453559924999301
0,1,0,779.653606983336,0,0,0,191.629801925127,0,1,0,0.5477230048116061
0,0,0,73.1470355527298,0,0,0,86.57882002061208,0,0,0,0.0
0,0,0,202.913618998825,0,0,0,205.47906195163398,0,0,0,0.0
0,1,0,303.947497893081,0,0,0,18.4947036179092,0,0,0,0.7453559924999301
0,0,0,24.018783976433898,0,0,0,18.645569936296898,0,0,0,0.763762615825973
0,1,0,101.610660042636,0,0,0,123.79340120573,0,1,0,0.447213694880646
0,0,0,354.164027195427,0,0,0,25.1320552968355,0,0,0,0.7453559924999301
0,0,0,243.051967104055,0,0,0,59.9351257706842,0,0,0,0.0
0,0,0,60.3708091901309,0,0,0,22.2539197682276,0,0,0,0.763762615825973
0,0,0,26.6703088929484,0,0,0,26.5647689786,0,0,0,0.0
0,0,0,152.751670752915,0,0,0,81.0103779377762,0,0,0,0.7453559924999301
0,0,0,866.906988539239,0,0,0,955.9146769503011,0,1,0,0.4472136514015979
0,0,0,49.8574134136081,0,0,0,44.0528938871141,0,0,0,0.0
0,0,0,143.054229081773,0,0,0,672.15766610881,0,0,0,1.1180339887498898
0,1,0,810.78262366209,0,0,0,569.860728259934,0,0,0,0.7453559924999301
0,1,0,41.802539060646794,0,0,0,38.85674254717961,0,0,0,0.7453559924999301
0,0,0,112.95064012826401,0,0,0,47.249309852778104,0,0,0,0.471404520791032
0,0,0,365.32440225181296,0,0,0,165.017508813463,0,0,0,0.0
0,1,0,502.88877677272,0,0,0,1030.87366202399,0,0,0,0.37267799624996506
0,1,0,351.356163346848,0,0,0,250.668245171229,0,0,0,0.0
0,0,0,393.89388554653704,0,0,0,394.908457229716,0,1,0,0.447213694880646
0,0,0,11.1002322866952,0,0,0,21.859860326844302,0,0,0,0.8975274678557509
0,0,0,17.6297642627548,0,0,0,22.943346822207303,0,0,0,0.763762615825973
0,1,0,493.83195794820097,0,1,0,46.7436003145233,0,0,0,0.0
1,1,0,62.8810002936364,0,0,0,94.92460885961799,0,0,0,0.0
0,1,0,1343.5449409802,0,1,0,62.19550700868629,1,1,0,1.0104095069943901
0,1,0,48.922087895096595,0,0,0,37.5951216668192,0,0,0,0.0
0,1,0,347.53468782181506,0,0,0,35.0246361064311,0,0,0,0.0
0,2,0,142.917038892216,0,1,0,107.743752334739,0,0,0,0.37267799624996506
2,1,0,119.08722873995501,0,0,0,462.835967691465,0,0,0,0.0
1,1,0,22.2953349322438,0,0,0,17.2128899855118,0,0,0,0.37267799624996506
0,0,0,677.888907744127,0,0,0,79.4590711735778,0,0,0,0.763762615825973
0,0,0,18.436345111503602,0,0,0,18.436345111503602,0,0,0,0.37267799624996506
0,0,0,165.971792318898,1,1,0,5.6774522516078605,0,0,0,0.0
0,0,0,224.101596152345,0,0,0,205.318867506624,0,0,0,0.0
0,0,0,56.7370678558224,0,0,0,58.250543307476796,0,0,0,0.0
0,0,0,55.065240329410294,0,0,0,37.5632052305841,0,1,0,0.8944273028031958
2,1,0,62.613465548880605,1,0,0,101.500064079923,0,0,0,0.8975274678557509
0,0,0,11.2921204727553,0,0,0,18.592046111053897,0,0,0,1.0
0,1,0,26.6795569331487,0,0,0,10.905444671429802,0,0,0,0.7453559924999301
1,1,0,3.97710681986333,0,0,0,4.2216316105391805,0,0,0,0.0
0,0,0,37.358747733529995,0,0,0,25.6824379789007,0,0,0,0.0
0,1,0,35.1942243600913,0,0,0,26.2914803909263,0,0,0,0.0
0,0,0,86.19488117115749,0,0,0,90.6935701270895,0,0,0,0.0
1,1,0,218.364230374421,0,0,0,213.917831192014,0,0,0,0.37267799624996506
0,0,0,4.01377873734963,0,0,0,7.27422820035913,0,0,0,1.95078331845327
0,1,0,14.483675696154402,0,1,0,11.415004453007901,0,0,0,0.0
0,1,0,952.4161955569749,0,0,0,205.73360706339,0,0,0,0.763762615825973
0,1,0,9.90264315380027,0,0,0,9.91002773431838,0,0,0,0.7453559924999301
0,0,0,26.4806592665565,0,1,0,13.7183337445372,0,0,0,0.0
0,0,0,7.6922939789864095,0,0,0,6.92135849864624,0,0,0,0.0
0,1,0,81.08520702825271,0,0,0,21.389512165304,0,1,0,0.8944273028031958
0,0,0,0.0,0,0,0,0.0,0,0,0,1.1180339887498898
0,1,0,10.5912869604005,0,0,0,9.93351789849878,0,0,0,0.0
0,1,0,17.683950564007198,0,1,0,5.6311702451738,0,0,0,0.0
0,0,0,243.024172187426,0,0,0,20.5073218364371,0,1,0,0.8944272406902641
0,0,0,183.07452691813597,0,0,0,74.36818444421571,0,0,0,0.763762615825973
0,0,0,34.832585942708604,0,0,0,0.0,0,1,0,0.44721362034513207
0,1,0,6.953144529437981,0,0,0,0.0,0,0,0,0.0
0,0,0,17.3103374595013,0,0,0,16.940868259432,0,0,0,0.0
0,0,0,72.83177060748159,0,0,0,0.0,0,1,0,0.8944272406902641
0,0,0,42.812417381719,2,0,0,3.5889552572751597,0,0,0,0.0
0,0,0,58.4465954312817,0,0,0,0.0,0,1,0,1.84390907374023
0,1,0,2156.36490835973,0,0,0,93.28287741864479,0,1,0,0.8944273028031958
0,0,0,1071.44638952628,0,0,0,81.5315494158754,0,0,0,0.763762615825973
0,1,0,8.020575013389351,0,0,0,8.14965661161799,0,0,0,0.37267799624996506
0,1,0,8.87105315679752,0,1,0,8.44750426374092,0,0,0,0.0
0,1,0,58.249503596237496,0,0,0,44.5946582787382,0,0,0,0.37267799624996506
0,0,0,28.3913232481928,0,0,0,28.256847215225395,0,0,0,1.21335164821342
0,0,0,32.2106223470402,0,0,0,35.9003284134282,0,0,0,0.7453559924999301
